,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
24,27,會澤　翼,捕手,1988/04/13,28歳,10年,177cm,91kg,B型,右右,茨城,2,300万円
25,29,江草　仁貴,投手,1980/09/03,36歳,14年,178cm,83kg,A型,左左,広島,1,700万円
26,30,一岡　竜司,投手,1991/01/11,25歳,5年,179cm,82kg,O型,右右,福岡,2,400万円
27,31,石原　慶幸,捕手,1979/09/07,37歳,15年,177cm,90kg,A型,右右,岐阜,10,000万円
28,32,白濱　裕太,捕手,1985/10/31,31歳,13年,180cm,92kg,A型,右右,大阪,860万円
29,33,菊池　涼介,内野手,1990/03/11,26歳,5年,171cm,69kg,A型,右右,東京,8,500万円
30,34,中田　廉,投手,1990/07/21,26歳,8年,189cm,91kg,AB型,右右,大阪,2,600万円
31,35,下水流　昂,外野手,1988/04/23,28歳,4年,178cm,88kg,A型,右右,神奈川,810万円
32,36,塹江　敦哉,投手,1997/02/21,19歳,2年,178cm,78kg,A型,左左,香川,540万円
33,37,野間　峻祥,外野手,1993/01/28,23歳,2年,180cm,80kg,B型,右左,兵庫,1,700万円
34,38,赤松　真人,外野手,1982/09/06,34歳,12年,182cm,75kg,O型,右右,京都,3,300万円
35,39,飯田　哲矢,投手,1991/03/28,25歳,2年,182cm,80kg,A型,左左,神奈川,1,000万円
36,40,倉　義和,捕手,1975/07/27,41歳,19年,179cm,90kg,O型,右右,京都,2,700万円
37,41,藤井　皓哉,投手,1996/07/29,20歳,2年,181cm,83kg,AB型,右左,岡山,540万円
38,42,ジョンソン,投手,1984/10/14,32歳,2年,193cm,93kg,不明,左左,アメリカ,15,000万円
39,43,土生　翔平,外野手,1989/08/16,27歳,5年,180cm,87kg,O型,右左,広島,690万円
40,44,松山　竜平,外野手,1985/09/18,31歳,9年,176cm,95kg,B型,右左,鹿児島,2,800万円
41,45,桒原　樹,内野手,1996/07/04,20歳,2年,180cm,74kg,O型,右左,静岡,540万円
42,46,高橋　樹也,投手,1997/06/21,19歳,1年,176cm,75kg,A型,左左,岩手,540万円
43,47,小野　淳平,投手,1987/04/05,29歳,7年,178cm,82kg,B型,右右,大分,1,400万円
44,48,西原　圭大,投手,1988/09/29,28歳,3年,179cm,81kg,B型,右右,愛媛,790万円
45,49,天谷　宗一郎,外野手,1983/11/08,33歳,15年,178cm,87kg,O型,左左,福井,2,300万円
46,50,髙橋　大樹,外野手,1994/05/11,22歳,4年,181cm,85kg,O型,右右,大阪,650万円
47,51,鈴木　誠也,外野手,1994/08/18,22歳,4年,181cm,87kg,A型,右右,東京,1,700万円
48,52,庄司　隼人,内野手,1991/06/21,25歳,7年,175cm,76kg,A型,右左,静岡,580万円
49,53,戸田　隆矢,投手,1993/06/10,23歳,5年,181cm,72kg,A型,左左,兵庫,1,970万円
50,54,船越　涼太,捕手,1993/11/26,23歳,1年,178cm,83kg,O型,右右,千葉,800万円
51,55,エルドレッド,内野手,1980/07/12,36歳,5年,196cm,122kg,不明,右右,アメリカ,12,500万円
52,56,辻　空,投手,1994/04/24,22歳,4年,184cm,84kg,O型,右右,岐阜,460万円
53,57,オスカル,投手,1991/03/28,25歳,1年,178cm,78kg,O型,左左,ブラジル,800万円
54,58,ジャクソン,投手,1987/10/27,29歳,1年,185cm,88kg,不明,右右,アメリカ,7,260万円
55,59,美間　優槻,内野手,1994/05/26,22歳,4年,177cm,90kg,B型,右右,徳島,600万円
56,60,安部　友裕,内野手,1989/06/24,27歳,9年,181cm,81kg,O型,右左,福岡,1,080万円
57,61,磯村　嘉孝,捕手,1992/11/01,24歳,6年,178cm,89kg,A型,右右,愛知,615万円
58,62,今井　啓介,投手,1987/05/24,29歳,11年,183cm,89kg,B型,右右,新潟,1,400万円
59,63,西川　龍馬,内野手,1994/12/10,22歳,1年,176cm,68kg,O型,右左,大阪,750万円
60,64,多田　大輔,捕手,1996/05/25,20歳,2年,189cm,92kg,B型,右右,徳島,490万円
61,65,久本　祐一,投手,1979/03/14,37歳,15年,177cm,83kg,O型,左左,大阪,1,000万円
62,66,ヘーゲンズ,投手,1989/05/12,27歳,1年,190cm,95kg,不明,右右,アメリカ,5,700万円
63,67,中村　祐太,投手,1995/08/31,21歳,3年,182cm,80kg,A型,右右,東京,460万円
64,68,中村　亘佑,捕手,1991/04/02,25歳,7年,181cm,87kg,O型,右右,神奈川,460万円
65,69,青木　陸,内野手,1997/11/11,19歳,1年,181cm,87kg,B型,右右,山形,420万円
66,70,デラバー,投手,1983/07/17,33歳,1年,195cm,99kg,不明,右右,アメリカ,3,952万円
67,98,佐藤　祥万,投手,1989/08/18,27歳,9年,172cm,78kg,B型,左左,栃木,600万円
68,121,松浦　耕大,捕手,1993/04/06,23歳,2年,175cm,78kg,O型,右右,福岡,380万円
69,123,木村　聡司,内野手,1996/05/06,20歳,2年,180cm,78kg,B型,右右,静岡,320万円
70,145,バティスタ,内野手,1992/01/18,24歳,1年,189cm,115kg,不明,右右,ドミニカ共和国,235万円
71,146,メヒア,内野手,1993/03/10,23歳,1年,192cm,102kg,不明,右右,ドミニカ共和国,234万円
