,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
23,26,廣瀬　純,外野手,1979/03/29,36歳,15年,181cm,85kg,B型,右右,大分,4,800万円
24,27,會澤　翼,捕手,1988/04/13,27歳,9年,177cm,91kg,B型,右右,茨城,1,900万円
25,28,新井　貴浩,内野手,1977/01/30,38歳,17年,189cm,96kg,B型,右右,広島,2,000万円
26,29,江草　仁貴,投手,1980/09/03,35歳,13年,178cm,83kg,A型,左左,広島,1,700万円
27,30,一岡　竜司,投手,1991/01/11,24歳,4年,179cm,82kg,O型,右右,福岡,2,400万円
28,31,石原　慶幸,捕手,1979/09/07,36歳,14年,177cm,90kg,A型,右右,岐阜,10,000万円
29,32,白濱　裕太,捕手,1985/10/31,30歳,12年,180cm,92kg,A型,右右,大阪,950万円
30,33,菊池　涼介,内野手,1990/03/11,25歳,4年,171cm,69kg,A型,右右,東京,8,500万円
31,34,中田　廉,投手,1990/07/21,25歳,7年,189cm,91kg,AB型,右右,大阪,3,000万円
32,35,下水流　昂,外野手,1988/04/23,27歳,3年,178cm,88kg,A型,右右,神奈川,810万円
33,36,塹江　敦哉,投手,1997/02/21,18歳,1年,178cm,78kg,A型,左左,香川,500万円
34,37,野間　峻祥,外野手,1993/01/28,22歳,1年,180cm,80kg,B型,右左,兵庫,1,500万円
35,38,赤松　真人,外野手,1982/09/06,33歳,11年,182cm,75kg,O型,右右,京都,2,800万円
36,39,飯田　哲矢,投手,1991/03/28,24歳,1年,182cm,80kg,A型,左左,神奈川,800万円
37,40,倉　義和,捕手,1975/07/27,40歳,18年,179cm,90kg,O型,右右,京都,3,000万円
38,41,藤井　皓哉,投手,1996/07/29,19歳,1年,181cm,83kg,AB型,右左,岡山,500万円
39,42,ジョンソン,投手,1984/10/14,31歳,1年,193cm,93kg,不明,左左,アメリカ,7,560万円
40,43,土生　翔平,外野手,1989/08/16,26歳,4年,180cm,87kg,O型,右左,広島,750万円
41,44,松山　竜平,外野手,1985/09/18,30歳,8年,176cm,95kg,B型,右左,鹿児島,2,300万円
42,45,桑原　樹,内野手,1996/07/04,19歳,1年,180cm,74kg,O型,右左,静岡,500万円
43,46,岩見　優輝,投手,1987/01/25,28歳,5年,177cm,83kg,A型,左左,大阪,730万円
44,47,小野　淳平,投手,1987/04/05,28歳,6年,178cm,82kg,B型,右右,大分,1,500万円
45,48,西原　圭大,投手,1988/09/29,27歳,2年,179cm,81kg,B型,右右,愛媛,800万円
46,49,天谷　宗一郎,外野手,1983/11/08,32歳,14年,178cm,87kg,O型,左左,福井,2,500万円
47,50,鈴木　将光,外野手,1987/04/08,28歳,10年,182cm,85kg,A型,右右,富山,500万円
48,51,鈴木　誠也,内野手,1994/08/18,21歳,3年,181cm,87kg,A型,右右,東京,900万円
49,52,庄司　隼人,内野手,1991/06/21,24歳,6年,175cm,76kg,A型,右左,静岡,580万円
50,53,戸田　隆矢,投手,1993/06/10,22歳,4年,181cm,72kg,A型,左左,兵庫,1,560万円
51,54,武内　久士,投手,1987/11/29,28歳,6年,185cm,95kg,A型,右右,徳島,590万円
52,55,エルドレッド,内野手,1980/07/12,35歳,4年,196cm,122kg,不明,右右,アメリカ,10,900万円
53,56,中崎　翔太,投手,1992/08/10,23歳,5年,186cm,96kg,B型,右右,鹿児島,1,750万円
54,57,シアーホルツ,外野手,1984/02/15,31歳,1年,188cm,97kg,不明,右左,アメリカ,13,900万円
55,58,ザガースキー,投手,1983/01/27,32歳,1年,183cm,109kg,不明,左左,アメリカ,4,250万円
56,59,美間　優槻,内野手,1994/05/26,21歳,3年,177cm,90kg,B型,右右,徳島,560万円
57,60,安部　友裕,内野手,1989/06/24,26歳,8年,181cm,81kg,O型,右左,福岡,1,000万円
58,61,磯村　嘉孝,捕手,1992/11/01,23歳,5年,178cm,89kg,A型,右右,愛知,590万円
59,62,今井　啓介,投手,1987/05/24,28歳,10年,183cm,89kg,B型,右右,新潟,1,700万円
60,63,田中　広輔,内野手,1989/07/03,26歳,2年,171cm,81kg,A型,右左,神奈川,2,200万円
61,64,多田　大輔,捕手,1996/05/25,19歳,1年,189cm,92kg,B型,右右,徳島,450万円
62,66,木村　昇吾,内野手,1980/04/16,35歳,13年,182cm,78kg,A型,右左,大阪,4,100万円
63,67,中村　祐太,投手,1995/08/31,20歳,2年,182cm,80kg,A型,右右,東京,460万円
64,68,池ノ内　亮介,投手,1988/11/22,27歳,5年,175cm,74kg,O型,右右,三重,540万円
65,69,ロサリオ,外野手,1989/03/29,26歳,2年,186cm,100kg,不明,右右,ドミニカ共和国,3,300万円
66,70,ヒース,投手,1985/08/28,30歳,2年,193cm,109kg,不明,右右,アメリカ,9,000万円
67,98,佐藤　祥万,投手,1989/08/18,26歳,8年,172cm,78kg,B型,左左,栃木,650万円
68,99,中村　憲,外野手,1989/09/27,26歳,8年,186cm,90kg,B型,左左,京都,540万円
69,120,久本　祐一,投手,1979/03/14,36歳,14年,177cm,83kg,O型,左左,大阪,1,000万円
70,121,松浦　耕大,捕手,1993/04/06,22歳,1年,175cm,78kg,O型,右右,福岡,300万円
71,123,木村　聡司,内野手,1996/05/06,19歳,1年,180cm,78kg,B型,右右,静岡,250万円
72,124,辻　空,投手,1994/04/24,21歳,3年,184cm,84kg,O型,右右,岐阜,360万円
73,126,中村　亘佑,捕手,1991/04/02,24歳,6年,181cm,87kg,O型,右右,神奈川,430万円
74,136,森下　宗,外野手,1991/02/23,24歳,3年,176cm,75kg,B型,左左,静岡,390万円
75,144,デ　ヘスス,投手,1987/11/02,28歳,1年,196cm,104kg,不明,右右,ドミニカ共和国,230万円
